"id","class","score"
"1",3,77
"2",1,101
"3",3,46
"4",2,122
"5",1,63
"6",3,44
"7",3,87
"8",3,48
"9",2,50
"10",1,121
"11",3,89
"12",2,88
"13",1,85
"14",2,69
"15",2,50
"16",2,91
"17",2,115
"18",3,58
"19",2,88
"20",1,94
"21",2,138
"22",2,62
"23",2,112
"24",1,84
"25",1,77
"26",1,64
"27",3,64
"28",1,73
"29",2,58
"30",2,56
"31",1,46
"32",3,69
"33",1,90
"34",3,67
"35",3,66
"36",2,101
"37",1,65
"38",1,107
"39",2,32
"40",1,45
"41",1,70
"42",3,82
"43",3,86
"44",1,50
"45",1,72
"46",2,95
"47",1,82
"48",1,86
"49",3,98
"50",1,75
"51",3,65
"52",2,88
"53",3,62
"54",1,95
"55",2,121
"56",3,126
"57",1,96
"58",2,82
"59",3,90
"60",3,71
"61",1,85
"62",3,103
"63",2,46
"64",2,71
"65",3,57
"66",3,83
"67",3,53
"68",3,93
"69",2,56
"70",3,96
"71",1,75
"72",2,107
"73",2,104
"74",3,59
"75",2,93
"76",2,59
"77",1,73
"78",3,77
"79",1,83
"80",1,83
"81",2,81
"82",2,63
"83",3,54
"84",3,52
"85",2,85
"86",2,77
"87",2,93
"88",2,50
"89",3,89
"90",2,86
"91",3,91
"92",3,59
"93",1,85
"94",1,58
"95",2,103
"96",3,137
"97",2,108
"98",2,82
"99",1,71
"100",2,80
