gender,comsume
男生,1970
男生,2160
男生,1440
男生,1740
男生,1600
男生,1770
男生,1950
男生,1490
男生,1600
男生,1070
男生,1969
男生,1750
男生,2320
男生,1560
男生,1850
男生,2460
男生,1130
男生,2420
男生,1610
男生,2070
男生,1600
男生,1880
男生,1850
男生,1510
男生,1760
男生,1900
男生,2010
男生,2230
女生,980
女生,2196
女生,1745
女生,1440
女生,2240
女生,1657
女生,2064
女生,1300
女生,1400
女生,1932
女生,1920
女生,1570
女生,1160
女生,2064
女生,1976
女生,1800
女生,1745
女生,2270
女生,2163
女生,1530
女生,1833
女生,1690
女生,1481
女生,2500
女生,1940
女生,2100
女生,1600
女生,1480
