专业,收入
统计学,3306
统计学,6496
统计学,3996
统计学,5572
统计学,4887
统计学,5084
统计学,6168
统计学,4740
统计学,4250
统计学,4031
统计学,3955
统计学,5291
统计学,4995
统计学,4398
统计学,4392
统计学,3475
统计学,4643
统计学,5562
统计学,3159
统计学,4403
金融学,3882
金融学,4663
金融学,2429
金融学,5399
金融学,5127
金融学,3896
金融学,4039
金融学,4576
金融学,4012
金融学,3214
金融学,4525
金融学,4938
金融学,3716
金融学,4248
金融学,5318
金融学,2891
金融学,2737
金融学,3395
金融学,4053
金融学,6495
国际贸易学,4502
国际贸易学,3222
国际贸易学,3651
国际贸易学,3189
国际贸易学,4246
国际贸易学,5004
国际贸易学,4652
国际贸易学,6058
国际贸易学,2889
国际贸易学,3567
国际贸易学,2409
国际贸易学,3710
国际贸易学,4681
国际贸易学,4485
国际贸易学,3441
国际贸易学,3356
国际贸易学,3922
国际贸易学,4455
国际贸易学,2790
国际贸易学,4023
